filename,species,source,rotation_deg,flipped_horizontal,method,confidence,reference_image,needs_review
Chaetodon_octofasciatus_iNaturalist_438496468.jpg,Chaetodon octofasciatus,inaturalist,0.0,no,template_uncertain,0.0517,Chaetodon_octofasciatus_Bishop_1838436391.jpg,yes
Chaetodon_ornatissimus_iNaturalist_179799134.jpg,Chaetodon ornatissimus,inaturalist,6.6,no,template_uncertain,0.0946,Chaetodon_ornatissimus_Bishop_164962524.jpg,yes
Chaetodon_ornatissimus_iNaturalist_355757662.jpg,Chaetodon ornatissimus,inaturalist,0.0,no,template_uncertain,0.0504,Chaetodon_ornatissimus_Bishop_164962524.jpg,yes
Chaetodon_oxycephalus_FishPix_22169AF.jpg,Chaetodon oxycephalus,fishpix,-5.3,no,trusted_flagged,0.4412,Chaetodon_oxycephalus_FishBase_Choxy_ua.jpg,yes
Chaetodon_paucifasciatus_iNaturalist_449950227.jpg,Chaetodon paucifasciatus,inaturalist,-18.2,no,template_uncertain,0.0571,Chaetodon_paucifasciatus_Bishop_-1576082838.jpg,yes
Chaetodon_paucifasciatus_iNaturalist_70239542.jpg,Chaetodon paucifasciatus,inaturalist,-7.9,no,template_uncertain,0.0717,Chaetodon_paucifasciatus_Bishop_-1576082838.jpg,yes
Chaetodon_punctatofasciatus_iNaturalist_477584508.jpg,Chaetodon punctatofasciatus,inaturalist,11.2,no,template_uncertain,0.0508,Chaetodon_punctatofasciatus_Bishop_1458053428.jpg,yes
Chaetodon_quadrimaculatus_FishBase_Chqua_j0.jpg,Chaetodon quadrimaculatus,fishbase,9.0,no,trusted_flagged,0.2019,Chaetodon_quadrimaculatus_FishBase_Chqua_u5.jpg,yes
Chaetodon_quadrimaculatus_iNaturalist_234795159.jpg,Chaetodon quadrimaculatus,inaturalist,-12.4,no,template_uncertain,0.0784,Chaetodon_quadrimaculatus_FishBase_Chqua_u5.jpg,yes
Chaetodon_quadrimaculatus_iNaturalist_265786115.jpg,Chaetodon quadrimaculatus,inaturalist,0.0,no,template_uncertain,0.1174,Chaetodon_quadrimaculatus_FishBase_Chqua_u5.jpg,yes
Chaetodon_quadrimaculatus_iNaturalist_375423270.jpg,Chaetodon quadrimaculatus,inaturalist,0.0,no,template_uncertain,0.0667,Chaetodon_quadrimaculatus_FishBase_Chqua_u5.jpg,yes
Chaetodon_quadrimaculatus_iNaturalist_556077020.jpg,Chaetodon quadrimaculatus,inaturalist,4.4,no,template_uncertain,0.0582,Chaetodon_quadrimaculatus_FishBase_Chqua_u5.jpg,yes
