species,fishbase_file,bishop_file,is_duplicate,reviewed_at,notes
Chaetodon kleinii,Chaetodon_kleinii_FishBase_Chkle_u2.jpg,Chaetodon_kleinii_Bishop_-1577854379.jpg,no,2026-02-05T12:37:34.273101,
Chaetodon larvatus,Chaetodon_larvatus_FishBase_Chlar_u1.jpg,Chaetodon_larvatus_Bishop_1783626891.jpg,yes,2026-02-05T12:22:54.388794,
Chaetodon leucopleura,Chaetodon_leucopleura_FishBase_Chleu_u5.jpg,Chaetodon_leucopleura_Bishop_951338608.jpg,yes,2026-02-05T12:22:55.321630,
Chaetodon lineolatus,Chaetodon_lineolatus_FishBase_Chlin_u5.jpg,Chaetodon_lineolatus_Bishop_1821004318.jpg,yes,2026-02-05T12:22:56.155307,
Chaetodon lineolatus,Chaetodon_lineolatus_FishBase_Chlin_u2.jpg,Chaetodon_lineolatus_Bishop_1526268337.jpg,yes,2026-02-05T12:23:59.814384,
Chaetodon lineolatus,Chaetodon_lineolatus_FishBase_Chlin_u6.jpg,Chaetodon_lineolatus_Bishop_-879271097.jpg,yes,2026-02-05T12:24:00.568319,
Chaetodon litus,Chaetodon_litus_FishBase_Chlit_u0.jpg,Chaetodon_litus_Bishop_1983788749.jpg,yes,2026-02-05T12:22:56.905089,
Chaetodon lunula,Chaetodon_lunula_FishBase_Chlun_u7.jpg,Chaetodon_lunula_Bishop_-530805309.jpg,yes,2026-02-05T12:24:30.402468,
Chaetodon lunula,Chaetodon_lunula_FishBase_Chlun_u8.jpg,Chaetodon_lunula_Bishop_2036473160.jpg,yes,2026-02-05T12:24:57.773693,
Chaetodon lunula,Chaetodon_lunula_FishBase_Chlun_u6.jpg,Chaetodon_lunula_Bishop_543936522.jpg,yes,2026-02-05T12:25:12.472918,
Chaetodon lunula,Chaetodon_lunula_FishBase_Chlun_u8.jpg,Chaetodon_lunula_Bishop_-530805309.jpg,no,2026-02-05T12:28:28.108963,
Chaetodon lunula,Chaetodon_lunula_FishBase_Chlun_u7.jpg,Chaetodon_lunula_Bishop_2036473160.jpg,no,2026-02-05T12:30:34.701941,
Chaetodon lunula,Chaetodon_lunula_FishBase_Chlun_j0.jpg,Chaetodon_lunula_Bishop_1720571305.jpg,yes,2026-02-05T12:33:09.157908,
Chaetodon lunula,Chaetodon_lunula_FishBase_Chlun_u6.jpg,Chaetodon_lunula_Bishop_2036473160.jpg,no,2026-02-05T12:36:23.763814,
Chaetodon lunula,Chaetodon_lunula_FishBase_Chlun_u8.jpg,Chaetodon_lunula_Bishop_543936522.jpg,no,2026-02-05T12:37:04.769662,
Chaetodon lunulatus,Chaetodon_lunulatus_FishBase_Chlun_uc.jpg,Chaetodon_lunulatus_Bishop_1378116790.jpg,yes,2026-02-05T12:24:01.405904,
Chaetodon lunulatus,Chaetodon_lunulatus_FishBase_Chlun_ub.jpg,Chaetodon_lunulatus_Bishop_1113667583.jpg,yes,2026-02-05T12:24:58.543935,
Chaetodon lunulatus,Chaetodon_lunulatus_FishBase_Chlun_uc.jpg,Chaetodon_lunulatus_Bishop_1113667583.jpg,no,2026-02-05T12:37:36.672544,
