filename,species,directory,mean_L,mean_a,mean_b,std_L,std_a,std_b,distance,distance_method,species_n_images,distance_zscore,flag_color_outlier,flag_small_mask,flag_large_mask,flag_luminance,n_flags,suggested_action
Chaetodon_auriga_iNaturalist_389831783.jpg,Chaetodon auriga,images_inaturalist,36.34,-0.29,-1.23,7.67,4.47,14.69,3.528,mahalanobis,33,1.858,no,no,no,yes,1,review
Chaetodon_auriga_iNaturalist_549267892.jpg,Chaetodon auriga,images_inaturalist,75.61,-5.85,25.84,20.99,9.02,34.58,2.375,mahalanobis,33,0.08,no,no,no,no,0,ok
Chaetodon_auriga_iNaturalist_559191666.jpg,Chaetodon auriga,images_inaturalist,73.73,-13.04,9.05,15.77,6.05,31.99,2.868,mahalanobis,33,0.841,no,yes,no,no,1,review
Chaetodon_auriga_iNaturalist_6973141.jpg,Chaetodon auriga,images_inaturalist,73.18,-2.6,19.96,20.92,5.16,28.08,2.078,mahalanobis,33,-0.379,no,no,no,no,0,ok
Chaetodon_auriga_iNaturalist_69919845.jpg,Chaetodon auriga,images_inaturalist,58.52,1.0,16.27,19.48,7.43,27.28,1.3,mahalanobis,33,-1.578,no,no,no,no,0,ok
Chaetodon_auripes_FishPix_140765AF.jpg,Chaetodon auripes,images,49.07,-15.32,34.32,20.21,6.16,29.21,2.688,mahalanobis,19,0.614,no,no,no,no,0,ok
Chaetodon_auripes_Bishop_-346327811.jpg,Chaetodon auripes,images_bishop,37.26,4.48,29.54,20.06,4.61,13.87,1.78,mahalanobis,19,-0.815,no,no,no,no,0,ok
Chaetodon_auripes_Bishop_1839596140.jpg,Chaetodon auripes,images_bishop,43.52,-0.68,25.99,26.52,4.09,16.43,2.079,mahalanobis,19,-0.344,no,no,no,no,0,ok
Chaetodon_auripes_FishBase_Chaur_j0.jpg,Chaetodon auripes,images_fishbase_extra,37.27,11.28,27.17,19.76,9.71,23.46,2.79,mahalanobis,19,0.774,no,no,no,no,0,ok
Chaetodon_auripes_FishBase_Chaur_u10.jpg,Chaetodon auripes,images_fishbase_extra,52.62,8.97,31.64,18.76,6.3,18.69,1.13,mahalanobis,19,-1.838,no,no,no,no,0,ok
Chaetodon_auripes_FishBase_Chaur_u2.jpg,Chaetodon auripes,images_fishbase_extra,39.83,-16.91,23.2,25.49,11.13,19.32,3.545,mahalanobis,19,1.963,no,no,no,no,0,ok
Chaetodon_auripes_FishBase_Chaur_ub.jpg,Chaetodon auripes,images_fishbase_extra,37.55,4.53,29.61,20.49,4.66,14.06,1.7,mahalanobis,19,-0.94,no,no,no,no,0,ok
Chaetodon_auripes_FishBase_Chaur_uc.jpg,Chaetodon auripes,images_fishbase_extra,43.84,-0.7,26.02,27.22,4.22,16.73,2.257,mahalanobis,19,-0.064,no,no,no,no,0,ok
