species,pic_id,original_filename,local_filename,url,family,in_miyazawa,download_status,file_size
Chaetodon rafflesii,86018,86018AF.jpg,Chaetodon_rafflesii_FishPix_86018.jpg,https://fishpix.kahaku.go.jp/photos/NR0086/86018AF.jpg,Chaetodontidae,no,success,113571
Unknown,86312,86312AF.jpg,Unknown_FishPix_86312.jpg,https://fishpix.kahaku.go.jp/photos/NR0086/86312AF.jpg,Chaetodontidae,no,success,58893
Heniochus chrysostomus,86313,86313AF.jpg,Heniochus_chrysostomus_FishPix_86313.jpg,https://fishpix.kahaku.go.jp/photos/NR0086/86313AF.jpg,Chaetodontidae,no,success,49587
Heniochus chrysostomus,86314,86314AF.jpg,Heniochus_chrysostomus_FishPix_86314.jpg,https://fishpix.kahaku.go.jp/photos/NR0086/86314AF.jpg,Chaetodontidae,no,success,70192
Heniochus chrysostomus,86315,86315AF.jpg,Heniochus_chrysostomus_FishPix_86315.jpg,https://fishpix.kahaku.go.jp/photos/NR0086/86315AF.jpg,Chaetodontidae,no,success,81940
Unknown,86316,86316AF.jpg,Unknown_FishPix_86316.jpg,https://fishpix.kahaku.go.jp/photos/NR0086/86316AF.jpg,Chaetodontidae,no,success,33720
Unknown,86317,86317AF.jpg,Unknown_FishPix_86317.jpg,https://fishpix.kahaku.go.jp/photos/NR0086/86317AF.jpg,Chaetodontidae,no,success,48451
Unknown,86318,86318AF.jpg,Unknown_FishPix_86318.jpg,https://fishpix.kahaku.go.jp/photos/NR0086/86318AF.jpg,Chaetodontidae,no,success,72007
Heniochus diphreutes,86319,86319AF.jpg,Heniochus_diphreutes_FishPix_86319.jpg,https://fishpix.kahaku.go.jp/photos/NR0086/86319AF.jpg,Chaetodontidae,no,success,21897
Heniochus diphreutes,86320,86320AF.jpg,Heniochus_diphreutes_FishPix_86320.jpg,https://fishpix.kahaku.go.jp/photos/NR0086/86320AF.jpg,Chaetodontidae,no,success,32421
Unknown,86322,86322AF.jpg,Unknown_FishPix_86322.jpg,https://fishpix.kahaku.go.jp/photos/NR0086/86322AF.jpg,Chaetodontidae,no,success,40982
Unknown,86324,86324AF.jpg,Unknown_FishPix_86324.jpg,https://fishpix.kahaku.go.jp/photos/NR0086/86324AF.jpg,Chaetodontidae,no,success,37372
Forcipiger flavissimus,86325,86325AF.jpg,Forcipiger_flavissimus_FishPix_86325.jpg,https://fishpix.kahaku.go.jp/photos/NR0086/86325AF.jpg,Chaetodontidae,no,success,46525
