species,filename,source,image_url,locality,in_tree,download_success
Chaetodon selene,Chaetodon_selene_Bishop_-1379331455.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/-1379331455.jpg,Indonesia; Ambon Bay,yes,yes
Chaetodon semeion,Chaetodon_semeion_Bishop_-1205919593.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/-1205919593.jpg,French Polynesia; Tetiaroa,yes,yes
Chaetodon semeion,Chaetodon_semeion_Bishop_238560942.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/238560942.jpg,French Polynesia; Bora Bora,yes,yes
Chaetodon semilarvatus,Chaetodon_semilarvatus_Bishop_-947886964.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/-947886964.jpg,Sudan; Red Sea; Port Sudan,yes,yes
Chaetodon smithi,Chaetodon_smithi_Bishop_-608924262.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/-608924262.jpg,Pitcairn; Pitcairn,no,yes
Chaetodon smithi,Chaetodon_smithi_Bishop_-1166721005.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/-1166721005.jpg,Pitcairn,no,yes
Chaetodon smithi,Chaetodon_smithi_Bishop_-756583267.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/-756583267.jpg,Easter Island; Tahai,no,yes
Chaetodon speculum,Chaetodon_speculum_Bishop_65885528.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/65885528.jpg,Australia; Great Barrier Reef; One Tree Island,yes,yes
Chaetodon tinkeri,Chaetodon_tinkeri_Bishop_-1989865351.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/-1989865351.jpg,Johnston Island; Johnston Is,yes,yes
Chaetodon tinkeri,Chaetodon_tinkeri_Bishop_-408146097.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/-408146097.jpg,Hawaii (USA); Oahu; Makua,yes,yes
Chaetodon tinkeri,Chaetodon_tinkeri_Bishop_1959828294.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/1959828294.jpg,Hawaii (USA); Oahu; Waianae,yes,yes
Chaetodon trichrous,Chaetodon_trichrous_Bishop_-192591132.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/-192591132.jpg,Tahiti; Teavaraa Pass,yes,yes
Chaetodon tricinctus,Chaetodon_tricinctus_Bishop_28770837.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/28770837.jpg,Australia; Lord Howe Island,yes,yes
Chaetodon trifascialis,Chaetodon_trifascialis_Bishop_-500274613.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/-500274613.jpg,Tahiti; Teavaraa Pass,yes,yes
Chaetodon trifascialis,Chaetodon_trifascialis_Bishop_-1790297166.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/-1790297166.jpg,Sudan; Port Sudan,yes,yes
Chaetodon trifasciatus,Chaetodon_trifasciatus_Bishop_-781709008.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/-781709008.jpg,Mauritius,yes,yes
Chaetodon ulietensis,Chaetodon_ulietensis_Bishop_-201975074.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/-201975074.jpg,Hawaii (USA); Kona,yes,yes
Chaetodon ulietensis,Chaetodon_ulietensis_Bishop_-1430510223.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/-1430510223.jpg,Tahiti; Teavaraa Pass,yes,yes
Chaetodon unimaculatus,Chaetodon_unimaculatus_Bishop_-2035665860.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/-2035665860.jpg,Réunion,yes,yes
Chaetodon unimaculatus,Chaetodon_unimaculatus_Bishop_-538563321.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/-538563321.jpg,Hawaii (USA); Oahu,yes,yes
Chaetodon vagabundus,Chaetodon_vagabundus_Bishop_-2087127384.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/-2087127384.jpg,Sri Lanka; Negombo,yes,yes
Chaetodon vagabundus,Chaetodon_vagabundus_Bishop_397124810.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/397124810.jpg,Tahiti; Hitiaa,yes,yes
Chaetodon vagabundus,Chaetodon_vagabundus_Bishop_2044270221.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/2044270221.jpg,Oman; Muscat; Fahal Island,yes,yes
Chaetodon wiebeli,Chaetodon_wiebeli_Bishop_532247427.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/532247427.jpg,Hong Kong; Saikung,no,yes
Chaetodon xanthocephalus,Chaetodon_xanthocephalus_Bishop_-1021247480.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/-1021247480.jpg,Mauritius,yes,yes
Chaetodon xanthurus,Chaetodon_xanthurus_Bishop_-858508951.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/-858508951.jpg,Philippines; Luzon; Caban Island,yes,yes
Chaetodon zanzibariensis,Chaetodon_zanzibariensis_Bishop_-1292827274.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/-1292827274.jpg,Seychelles; La Digue,yes,yes
Chelmon marginalis,Chelmon_marginalis_Bishop_-336691052.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/-336691052.jpg,Australia;  Northern Territory; Darwin,no,yes
Chelmon marginalis,Chelmon_marginalis_Bishop_-1899628097.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/-1899628097.jpg,Australia; Western Australia; Broome,no,yes
Chelmon marginalis,Chelmon_marginalis_Bishop_24220165.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/24220165.jpg,Australia; Darwin; Dudley Point,no,yes
Chelmon muelleri,Chelmon_muelleri_Bishop_425540539.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/425540539.jpg,Australia; Northern Territory; Darwin,yes,yes
Chelmon muelleri,Chelmon_muelleri_Bishop_1919363298.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/1919363298.jpg,Australia; Northern Territory; Darwin,yes,yes
Chelmon rostratus,Chelmon_rostratus_Bishop_-1060273696.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/-1060273696.jpg,Singapore; Salu Island,yes,yes
